Age,Name,Category,Year,Date of Birth
90,Leonid Hurwicz,Economic Sciences,2007,21 August 1917
89,Lloyd Shapley,Economic Sciences,2012,2 June 1923
88,Raymond Davis Jr.,Physics,2002,14 October 1914
88,Doris Lessing,Literature,2007,22 October 1919
87,Yoichiro Nambu,Physics,2008,18 January 1921
87,Vitaly L. Ginzburg,Physics,2003,4 October 1916
87,Peyton Rous,Medicine,1966,5 October 1879
87,Joseph Rotblat,Peace,1995,4 November 1908
87,Karl von Frisch,Medicine,1973,20 November 1886
85,Ferdinand Buisson,Peace,1927,20 December 1841
85,John B. Fenn,Chemistry,2002,15 June 1917
85,Theodor Mommsen,Literature,1902,30 November 1817
85,Willard S. Boyle,Physics,2009,19 August 1929
